ID,Gender,Age,Ethnicity,Evidence,Agent,WithinSide,Behavior,Context,PredictQ1,PredictQ2,PredictQ3,PredictQ4,PredictQ5,PredictQ6,PredictMatch,NumQs
5883,male,4.0465,asian,one piece,blue,left,Harmful,Intergroup,1,1,1,1,1,1,6,6
5606,male,4.6297, ,one piece,blue,left,Harmful,Intergroup,1,1,1,1,1,1,6,6
7101,male,4.6817, ,one piece,blue,left,Harmful,Intergroup,1,1,1,1,1,1,6,6
6130,female,4.7009,white,five pieces,blue,left,Harmful,Intergroup,0,1,0,1,0,1,3,6
7388,female,4.3915,white,five pieces,blue,left,Harmful,Intergroup,1,1,1,0,0,1,4,6
5433,male,4.8679,white,five pieces,blue,left,Harmful,Intergroup,1,1,1,1,1,1,6,6
5834,male,4.334,black,five pieces,blue,left,Harmful,Intergroup,1,0,1,1,1,1,5,6
5824,female,4.5613,white,one piece,red,left,Harmful,Intergroup,0,0,0,0,0,0,0,6
5431,female,4.4435,asian,one piece,red,left,Harmful,Intergroup,1,0,1,0,1,1,4,6
5924,female,4.6543,asian,one piece,red,left,Harmful,Intergroup,0,1,0,0,1,1,3,6
7350,female,4.9637,white,five pieces,red,left,Harmful,Intergroup,0,1,1,0,0,0,2,6
7380,female,4.6626,asian,five pieces,red,left,Harmful,Intergroup,0,0,1,1,0,1,3,6
7191,male,4.9747,white,one piece,blue,right,Harmful,Intergroup,1,0,1,0,1,1,4,6
7201,male,4.5038,white,one piece,blue,right,Harmful,Intergroup,0,1,0,1,0,1,3,6
4427,female,4.115,white,five pieces,blue,right,Harmful,Intergroup,1,0,1,0,1,0,3,6
5823,male,4.0356,white,five pieces,blue,right,Harmful,Intergroup,1,1,0,1,1,1,5,6
7257,male,4.293,white,five pieces,blue,right,Harmful,Intergroup,0,0,0,0,0,0,0,6
4454,female,4.0383,white,one piece,red,right,Harmful,Intergroup,0,1,1,1,0,1,4,6
5919,male,4.386,white,one piece,red,right,Harmful,Intergroup,1,1,0,1,1,0,4,6
5638,male,4.1314,asian,one piece,red,right,Harmful,Intergroup,0,1,0,1,0,0,2,6
7203,male,4.4353,asian,one piece,red,right,Harmful,Intergroup,0,1,1,0,1,1,4,6
5928,female,4.6543,hispanic,five pieces,red,right,Harmful,Intergroup,1,1,1,1,1,1,6,6
5809,female,4.0274,mixed,five pieces,red,right,Harmful,Intergroup,1,0,1,0,1,1,4,6
5635,male,4.4682, ,five pieces,red,right,Harmful,Intergroup,0,1,1,1,1,1,5,6
7401,male,4.7201,white,one piece,blue,left,Harmful,Intragroup,0,0,1,0,0,0,1,6
7371,male,4.167,black,one piece,blue,left,Harmful,Intragroup,1,1,0,1,0,1,4,6
5675,male,4.3176,mixed,one piece,blue,left,Harmful,Intragroup,0,0,1,0,0,0,1,6
5730,male,4.9309,mixed,one piece,blue,left,Harmful,Intragroup,1,0,0,0,0,0,1,6
5600,female,4.1588,white,five pieces,blue,left,Harmful,Intragroup,1,0,1,0,0,0,2,6
5673,female,4.0767,white,five pieces,blue,left,Harmful,Intragroup,1,0,0,1,1,1,4,6
4644,male,4.1533,white,five pieces,blue,left,Harmful,Intragroup,1,0,1,0,0,0,2,6
7407,male,4.3641,white,five pieces,blue,left,Harmful,Intragroup,1,0,0,0,0,0,1,6
7410,male,4.5914,hispanic,five pieces,blue,left,Harmful,Intragroup,1,0,0,0,0,0,1,6
6177,female,4.2683,white,one piece,red,left,Harmful,Intragroup,1,0,0,0,1,0,2,6
7056,male,4.3066,hispanic,one piece,red,left,Harmful,Intragroup,1,1,1,1,1,1,6,6
5926,female,4.627,white,five pieces,red,left,Harmful,Intragroup,1,1,1,1,0,0,4,6
7376,female,4.7502,white,five pieces,red,left,Harmful,Intragroup,0,0,0,0,0,0,0,6
5668,male,4.3039,asian,five pieces,red,left,Harmful,Intragroup,0,0,0,0,0,0,0,6
4605,male,4.0383,white,one piece,blue,right,Harmful,Intragroup,1,0,1,0,1,1,4,6
5349,male,4.2902,white,one piece,blue,right,Harmful,Intragroup,0,1,0,0,1,0,2,6
5602,male,4.3751,white,one piece,blue,right,Harmful,Intragroup,1,1,1,1,1,1,6,6
5882,male,4.0684, ,one piece,blue,right,Harmful,Intragroup,1,1,1,1,1,1,6,6
6174,female,4.5421,hispanic,five pieces,blue,right,Harmful,Intragroup,1,1,1,1,1,1,6,6
5308,female,4.616,mixed,five pieces,blue,right,Harmful,Intragroup,1,0,0,1,0,0,2,6
7351,male,4.7064,mixed,one piece,red,right,Harmful,Intragroup,1,1,1,1,1,1,6,6
5886,male,4.3149, ,one piece,red,right,Harmful,Intragroup,1,1,1,1,1,1,6,6
5632,female,4.8515,white,five pieces,red,right,Harmful,Intragroup,1,1,1,1,1,1,6,6
4592,female,4.1068,hispanic,five pieces,red,right,Harmful,Intragroup,0,1,0,1,0,1,3,6
5766,male,4.2053,white,one piece,blue,left,Prosocial,Intergroup,0,1,0,0,1,0,2,6
7390,male,4.3368,black,one piece,blue,left,Prosocial,Intergroup,0,1,0,1,1,1,4,6
4449,male,4.1342,mixed,one piece,blue,left,Prosocial,Intergroup,1,1,1,1,1,1,6,6
5630,male,4.3614,white,five pieces,blue,left,Prosocial,Intergroup,1,1,1,1,1,1,6,6
5840,male,4.4298,mixed,five pieces,blue,left,Prosocial,Intergroup,1,0,1,1,1,1,5,6
6874,male,4.7118, ,five pieces,blue,left,Prosocial,Intergroup,1,0,1,0,1,0,3,6
6878,female,4.8843, ,one piece,red,left,Prosocial,Intergroup,0,1,1,1,1,1,5,6
5423,female,4.8131,white,five pieces,red,left,Prosocial,Intergroup,0,0,1,0,1,0,2,6
5933,female,4.6817,white,five pieces,red,left,Prosocial,Intergroup,1,1,1,1,1,1,6,6
7251,female,4.783,black,five pieces,red,left,Prosocial,Intergroup,0,1,1,0,1,0,3,6
6129,female,4.9117,white,one piece,blue,right,Prosocial,Intergroup,0,0,0,0,0,0,0,6
7349,female,4.9938,white,one piece,blue,right,Prosocial,Intergroup,0,0,1,1,0,1,3,6
5345,male,4.5311,white,one piece,blue,right,Prosocial,Intergroup,0,0,1,1,0,0,2,6
5922,male,4.6626,white,five pieces,blue,right,Prosocial,Intergroup,0,1,0,1,0,1,3,6
5429,female,4.7556,black,five pieces,blue,right,Prosocial,Intergroup,1,0,1,1,0,0,3,6
5774,female,4.449,hispanic,five pieces,blue,right,Prosocial,Intergroup,0,0,1,0,1,1,3,6
7389,male,4.8296,mixed,five pieces,blue,right,Prosocial,Intergroup,1,1,1,1,1,1,6,6
4609,female,4.1506,white,one piece,red,right,Prosocial,Intergroup,0,0,1,1,1,1,4,6
7405,female,4.8296,black,one piece,red,right,Prosocial,Intergroup,0,1,0,1,0,1,3,6
5810,male,4.3751,hispanic,one piece,red,right,Prosocial,Intergroup,0,0,1,1,1,0,3,6
5599,female,4.271, ,one piece,red,right,Prosocial,Intergroup,1,0,1,0,0,0,2,6
7050,female,4.3997, ,one piece,red,right,Prosocial,Intergroup,0,0,0,0,0,0,0,6
7359,female,4.3368,hispanic,five pieces,red,right,Prosocial,Intergroup,0,0,0,0,0,0,0,6
7054,female,4.6927, ,five pieces,red,right,Prosocial,Intergroup,0,0,0,0,0,0,0,6
5734,female,4.7173,hispanic,one piece,blue,left,Prosocial,Intragroup,1,1,1,1,1,1,6,6
6181,female,4.6571,mixed,one piece,blue,left,Prosocial,Intragroup,1,0,1,0,1,0,3,6
5517,male,4.2245,white,five pieces,blue,left,Prosocial,Intragroup,1,1,1,1,1,1,6,6
5826,male,4.8925,hispanic,five pieces,blue,left,Prosocial,Intragroup,0,0,0,0,0,0,0,6
7450,female,4.5749,mixed,five pieces,blue,left,Prosocial,Intragroup,0,1,0,0,0,0,1,6
5425,male,4.5311,white,one piece,red,left,Prosocial,Intragroup,0,1,0,1,0,1,3,6
7354,male,4.0657,white,one piece,red,left,Prosocial,Intragroup,1,1,1,1,1,1,6,6
7360,female,4.5832,black,one piece,red,left,Prosocial,Intragroup,0,1,0,0,0,0,1,6
4877,male,3.9973,white,five pieces,red,left,Prosocial,Intragroup,0,1,0,1,1,0,3,6
7441,male,4.2355,mixed,five pieces,red,left,Prosocial,Intragroup,1,1,1,1,1,1,6,6
4526,male,4.1232, ,five pieces,red,left,Prosocial,Intragroup,0,1,0,1,0,1,3,6
5306,male,4.668, ,five pieces,red,left,Prosocial,Intragroup,0,1,1,0,1,0,3,6
5833,female,4.3012,mixed,one piece,blue,right,Prosocial,Intragroup,1,1,1,1,1,1,6,6
7397,female,4.6708,mixed,one piece,blue,right,Prosocial,Intragroup,0,1,1,0,0,1,3,6
5930,female,4.627,white,five pieces,blue,right,Prosocial,Intragroup,1,1,0,0,1,1,4,6
7447,female,4.0027,asian,five pieces,blue,right,Prosocial,Intragroup,1,1,1,1,1,1,6,6
4983,female,4.0986, ,five pieces,blue,right,Prosocial,Intragroup,1,0,1,1,0,0,3,6
5733,female,4.1807,white,one piece,red,right,Prosocial,Intragroup,0,1,0,0,0,0,1,6
7355,female,4.2136,white,one piece,red,right,Prosocial,Intragroup,1,1,1,1,1,1,6,6
7370,male,4.7556,white,one piece,red,right,Prosocial,Intragroup,1,1,1,1,1,0,5,6
7377,female,4.6598,hispanic,one piece,red,right,Prosocial,Intragroup,0,0,1,0,1,1,3,6
6171,male,4.4682,mixed,one piece,red,right,Prosocial,Intragroup,1,1,1,1,1,1,6,6
5428,male,4.9199,middle eastern,five pieces,red,right,Prosocial,Intragroup,1,0,1,0,1,0,3,6
4530,male,4.063, ,five pieces,red,right,Prosocial,Intragroup,1,0,0,1,0,0,2,6